,n1,n2,p-values
223,49.0,47.0,4.6033185881022565e-09
224,51.0,45.0,8.283549643402882e-14
225,49.0,47.0,1.5620597067056258e-31
226,50.0,46.0,1.7800820921541102e-07
227,49.0,47.0,4.024864329886689e-21
228,50.0,46.0,1.505639177734091e-31
229,45.0,51.0,6.127537777161222e-29
230,52.0,44.0,1.786726966318072e-19
231,41.0,55.0,1.9982289374753596e-13
232,56.0,40.0,1.9786702381831403e-17
233,49.0,47.0,1.050475722835476e-09
234,51.0,45.0,1.8924125229134624e-15
235,52.0,44.0,1.675042999029304e-20
236,54.0,42.0,4.559397064083169e-15
237,51.0,45.0,1.6924949975630057e-09
238,63.0,33.0,7.245624328965095e-08
239,58.0,38.0,9.77150465893799e-09
240,47.0,49.0,5.446491244240773e-11
241,47.0,49.0,5.203873590976143e-66
242,43.0,53.0,1.2348841460918529e-10
243,52.0,44.0,4.518214069590677e-12
244,56.0,40.0,4.0386708071448535e-09
245,53.0,43.0,1.918980159616002e-12
246,50.0,46.0,5.766547304089461e-19
247,48.0,48.0,1.5011051470091645e-11
248,53.0,43.0,2.1783148068448335e-56
249,51.0,45.0,2.0307158143782045e-10
250,50.0,46.0,4.681895967962147e-21
251,49.0,47.0,4.4577055180925e-14
252,48.0,48.0,4.742709220638453e-25
253,42.0,54.0,6.208622266816696e-12
254,57.0,39.0,5.048967545303055e-25
255,47.0,49.0,5.3040990803431585e-21
256,53.0,43.0,3.241069043573514e-07
257,51.0,45.0,2.3796846577336997e-08
258,46.0,50.0,2.723244323298435e-10
259,54.0,42.0,2.4530662379175997e-07
260,45.0,51.0,3.1264038574497916e-180
261,53.0,43.0,3.0469150981349768e-18
262,46.0,50.0,2.4922368206158164e-22
263,52.0,44.0,2.823484695876511e-08
264,40.0,56.0,6.74123220812889e-21
265,46.0,50.0,2.1127752748056117e-12
266,51.0,45.0,8.693504411707216e-10
267,58.0,38.0,1.5877155862468325e-10
268,43.0,53.0,1.671956631510575e-08
269,45.0,51.0,4.609573431864743e-11
270,53.0,43.0,3.5746127816365184e-12
271,49.0,47.0,1.8181569372839424e-08
272,57.0,39.0,5.815452042191114e-14
273,44.0,52.0,3.03857273061957e-10
274,49.0,47.0,1.134312809800329e-14
275,42.0,54.0,2.0800885662109527e-20
276,50.0,46.0,2.7609915893224126e-16
277,50.0,46.0,2.6332671185973053e-21
278,52.0,44.0,9.630590598829022e-96
279,50.0,46.0,3.328173072915614e-19
280,52.0,44.0,3.354318511469771e-05
281,45.0,51.0,2.1161963041539362e-39
282,54.0,42.0,1.0956785203573704e-08
283,49.0,47.0,6.311457910404986e-39
284,50.0,46.0,9.052294835068034e-10
285,46.0,50.0,1.3927018988429157e-07
286,48.0,48.0,1.0212277706076357e-09
287,40.0,56.0,1.4868496789851685e-07
288,45.0,51.0,1.8841489785251626e-43
289,48.0,48.0,4.156405485652435e-14
290,47.0,49.0,2.9526182575371197e-12
291,44.0,52.0,2.78217403247427e-14
292,45.0,51.0,1.342432812882106e-15
293,52.0,44.0,4.188137223641574e-36
294,55.0,41.0,2.1071727052515584e-07
295,56.0,40.0,1.8765275647315182e-07
296,43.0,53.0,9.002841695096747e-23
297,42.0,54.0,3.119817645923772e-07
298,50.0,46.0,2.3564538070357807e-10
299,50.0,46.0,2.00138056670614e-12
300,48.0,48.0,3.8762669397696883e-20
301,41.0,55.0,3.979714343658284e-15
302,54.0,42.0,7.859336664465759e-72
303,34.0,62.0,5.801363621677362e-16
304,53.0,43.0,2.5204088922996744e-09
305,54.0,42.0,1.275327233011355e-13
306,51.0,45.0,3.820054966572112e-07
307,46.0,50.0,9.670309199284954e-25
308,55.0,41.0,8.122933950635967e-15
309,56.0,40.0,5.2656599994668925e-08
310,48.0,48.0,3.218765490178926e-08
311,52.0,44.0,6.479055665784162e-12
312,48.0,48.0,1.9487157317170417e-09
313,53.0,43.0,2.91282885653466e-11
314,49.0,47.0,2.810662806054189e-13
315,48.0,48.0,5.978755394067995e-17
316,48.0,48.0,3.682970775265182e-09
317,47.0,49.0,1.3433505295403513e-06
318,38.0,58.0,1.6818365431702146e-31
319,44.0,52.0,1.5972625950916593e-05
320,38.0,58.0,3.471299670084855e-30
321,50.0,46.0,1.996300337881871e-06
322,51.0,45.0,1.90073162269871e-09
323,50.0,46.0,5.4078558163319106e-14
324,50.0,46.0,6.386643436242853e-08
325,53.0,43.0,4.536098279490771e-31
326,51.0,45.0,2.8623130404716646e-13
327,44.0,52.0,1.4888070164538337e-22
328,53.0,43.0,1.0553852934955526e-13
329,55.0,41.0,3.658710721406761e-17
330,46.0,50.0,9.551641955116187e-23
331,53.0,43.0,8.32781262836496e-24
