,n1,n2,p-values
251,48.0,48.0,2.015028418649247e-16
252,48.0,48.0,1.0097975611993514e-17
253,48.0,48.0,2.5705565830254396e-36
254,48.0,48.0,6.109217802076512e-64
255,48.0,48.0,1.578459393437197e-29
256,48.0,48.0,2.554696632238122e-22
257,48.0,48.0,1.3709549120972283e-16
258,48.0,48.0,4.679844320953179e-28
259,48.0,48.0,6.224271588128015e-40
260,48.0,48.0,2.9875173579023737e-40
261,48.0,48.0,2.5286616960157408e-26
262,48.0,48.0,8.310869780070949e-35
263,48.0,48.0,1.7473345110642267e-23
264,48.0,48.0,7.311972356509096e-20
265,48.0,48.0,1.4430269627392078e-32
266,48.0,48.0,5.2173000957053245e-39
267,48.0,48.0,1.4165881691520066e-15
268,48.0,48.0,2.2742437010873177e-45
269,48.0,48.0,2.5431333484012607e-55
270,48.0,48.0,5.481457125391267e-15
271,48.0,48.0,1.7388960680289726e-21
272,48.0,48.0,1.0104822483772946e-32
273,48.0,48.0,1.8096022652772635e-38
274,48.0,48.0,1.475142398898447e-19
275,48.0,48.0,3.890474376593874e-24
276,48.0,48.0,1.218304508502105e-80
277,48.0,48.0,7.958776632621454e-68
278,48.0,48.0,1.6783270488132954e-59
279,48.0,48.0,1.5963445459561645e-19
280,48.0,48.0,3.7334804432376278e-34
281,48.0,48.0,2.8587401055583523e-13
282,48.0,48.0,3.4972744897545027e-22
283,48.0,48.0,7.462267265149649e-37
284,48.0,48.0,1.3876859689870998e-24
285,48.0,48.0,8.521490704206336e-52
286,48.0,48.0,1.308269565405098e-17
287,48.0,48.0,5.376129371509914e-20
288,48.0,48.0,2.5793473608713802e-26
289,48.0,48.0,3.862997026810807e-35
290,48.0,48.0,8.338868047078747e-21
291,48.0,48.0,2.147658054501627e-28
292,48.0,48.0,8.368676236513153e-65
293,48.0,48.0,1.7068664462423947e-35
294,48.0,48.0,3.7216820081462387e-14
295,48.0,48.0,1.7721474722455224e-38
296,48.0,48.0,1.0212597520759025e-44
297,48.0,48.0,0.0
298,48.0,48.0,3.7631165333142334e-19
299,48.0,48.0,5.835936859563521e-24
300,48.0,48.0,1.249827463446058e-50
301,48.0,48.0,6.200243123498693e-44
302,48.0,48.0,3.671081575044357e-29
303,48.0,48.0,8.951535154561818e-16
304,48.0,48.0,1.272265055935229e-21
305,48.0,48.0,9.410030138194897e-17
306,48.0,48.0,2.6041999053122857e-17
307,48.0,48.0,2.4418549903608725e-73
